;id;nome_escola;tipo_escola;logradouro_entrega;numero;bairro;subprefeitura;latitude;longitude;qt_material_didatico;ordem
58;161;JOAO DE DEUS;EM ;PRACA ALMEIDA GARRET;;PENHA CIRCULAR;ZONA NORTE;-22,82995;-43,28211;509;118
61;140;PEDRO LESSA;EM ;RUA ADAIL;49;BONSUCESSO;ZONA NORTE;-22,86047;-43,25428;153;119
65;274;ABEILARD FEIJO;EM ;ESTRADA DA CACUIA;1386;CACUIA;ILHAS;-22,80769;-43,18156;561;120
56;663;CIENTISTA MARIO KROEFF;EM ;RUA DO COUTO;91;PENHA;ZONA NORTE;-22,83896;-43,27517;426;121
53;146;BERNARDO VASCONCELOS;EM ;PRACA SANTA ROSALIA;100;PENHA;ZONA NORTE;-22,84563;-43,28401;151;122
54;566;BRANT HORTA;EM ;RUA BENTO CARDOSO;130;PENHA CIRCULAR;ZONA NORTE;-22,83567;-43,28816;564;123
51;230;BERLIM;EM ;PRACA RAMOS FIGUEIRA;20;OLARIA;ZONA NORTE;-22,84779;-43,26144;24;124
52;379;NELSON MANDELA;CIEP ;PRACA DANIEL LAMES;;CAMPO GRANDE;ZONA OESTE;-22,89558;-43,57051;109;125
49;041;ANDRADE NEVES;EM ;RUA VIANA DO CASTELO;;JARDIM AMERICA;ZONA NORTE;-22,80945;-43,32629;468;126
50;537;ARY QUINTELLA;EM ;RUA ENGENHEIRO MOREIRA LIMA;54;PENHA CIRCULAR;ZONA NORTE;-22,83941;-43,30007;234;127
